first_person,second_person,passive
I don't recommend following or unfollowing anyone at this moment,You might not want to follow or unfollow anyone just now,blank
I wouldn't advise to follow or unfollow anyone just now,You might not want to follow or unfollow anyone at this moment,blank
I don't think there is anyone else worth following or unfollowing at the moment,You might not find anyone else worth following or unfollowing at the moment,blank
I would not follow or unfollow anyone else at the moment,You might not want to follow or unfollow anyone else at the moment,blank
I don't think there is any other portfolio that is worth following or unfollowing this month,You might not find any other portfolio worth following or unfollowing this month,blank
"At the moment, I would not make any alterations to your follow list","At the moment, you might not want to make any alterations to your follow list",blank
I can't think of anyone else I should follow or unfollow at the moment,There doesn't seem to be anyone else you should follow or unfollow at the moment,blank
I don't think there is anyone else I should start or stop following at the moment,It seems there isn't anyone else you should start or stop following at the moment,blank
I can't think of anyone else to follow or unfollow,It appears you might not have anyone else to follow or unfollow,blank
"At this point, I don't see any pressing need to follow or unfollow anyone","At this point, it doesn't seem necessary for you to follow or unfollow anyone",blank
I would follow %(portfolio_name)s. I believe %(pronoun)s portfolio will increase by %(value)s%% next month,"You might consider following %(portfolio_name)s, as it seems %(pronoun)s portfolio could increase by %(value)s%% next month",blank
I would consider to follow %(portfolio_name)s. I think %(pronoun)s portfolio will increase by %(value)s%% next month,"You might consider to start following %(portfolio_name)s's portfolio, the prediction shows a increase of %(value)s%% in %(pronoun)s portfolio",blank
"I think %(portfolio_name)s's portfolio will increase by %(value)s%% next month, so I would follow %(him_her)s",You might consider to start following %(portfolio_name)s. The prediction shows %(pronoun)s portfolio increasing by %(value)s%% next month,blank
I believe %(portfolio_name)s's portfolio will see an increase of %(value)s%% next month. I would start to follow %(him_her)s,"It might be a good idea for you to consider following %(portfolio_name)s, as it appears that %(him_her)s portfolio could see an increase of %(value)s%% next month",blank
I predict a positive change of %(value)s%% in %(portfolio_name)s's portfolio next month. I think starting to follow %(him_her)s is a good choice,You might consider to start following %(portfolio_name)s. A positive change of %(value)s%% in %(him_her)s portfolio next month is predicted,blank
I would following %(portfolio_name)s. I predict a growth of %(value)s%% in %(pronoun)s portfolio next month,"You might consider following %(portfolio_name)s, as it is predicted that %(pronoun)s portfolio could grow by %(value)s%% next month",blank
I'd start following %(portfolio_name)s. I think %(pronoun)s portfolio will go up by %(value)s%%,"You might consider starting to follow %(portfolio_name)s, as it's predicted that %(pronoun)s portfolio will go up by %(value)s%%",blank
I would start following %(portfolio_name)s. I believe %(pronoun)s portfolio will increase by %(value)s%% next month,You might want to start following %(portfolio_name)s as the prediction indicates that %(pronoun)s portfolio will increase by %(value)s%% next month,blank
I would consider starting to follow %(portfolio_name)s. I think it will increase by %(value)s%% next month,You might consider following %(portfolio_name)s as it is predicted to increase by %(value)s%% next month,blank
I predict a positive change of %(value)s%% in %(portfolio_name)s's portfolio. I'd start following %(him_her)s,"You might want to start following %(portfolio_name)s, as there seems to be a predicted positive change of %(value)s%% in %(him_her)s portfolio",blank
I would stop follow %(portfolio_name)s. I believe %(pronoun)s portfolio will decrease by %(value)s%% next month,"You might want to stop following %(portfolio_name)s, as %(pronoun)s portfolio will decrease by %(value)s%% next month",blank
I think %(portfolio_name)s's portfolio will decrease by %(value)s%% next month. I would stop following %(him_her)s,"You might want to consider stopping following %(portfolio_name)s's portfolio, as the prediction indicates it could decrease by %(value)s%% next month",blank
I would unfollow %(portfolio_name)s. I predict %(pronoun)s portfolio will decrease by %(value)s%% next month,You might want to unfollow %(portfolio_name)s. The prediction shows%(him_her)s portfolio will decrease by %(value)s%% next month,blank
I'd stop following %(portfolio_name)s. I predict a negative change of %(value)s%% in %(him_her)s portfolio next month,"You might want to stop following %(portfolio_name)s's portfolio, it will see a negative change of %(value)s%% next month",blank
I would stop following %(portfolio_name)s. I think %(pronoun)s portfolio will decrease by %(value)s%% next month,You might want to consider stopping following %(portfolio_name)s. A decrease of %(value)s%% in %(him_her)s portfolio next month is predicted,blank
I think it's time to stop following %(portfolio_name)s. I believe %(pronoun)s portfolio will decrease by %(value)s%%,You might consider stopping following %(portfolio_name)s as a prediction suggests a decrease of %(value)s%% in %(pronoun)s portfolio next month,blank
